Task_ID,Phase,Workstream,Applies_To,Task,Step_By_Step,Owner_Role,Depends_On,Planned_Start,Planned_End,Planning_Week_Start,Planning_Week_End,Effort_Hours_Estimate,Priority,Deliverable,Acceptance_Criteria,Gate,Status,Source_IDs,Source_URLs
B1-DEPOSIT,07.1 Book 1 production,Publishing administration,B1,Complete legal deposit and archive production evidence,"1) Obtain actual print-completion date from printer; 2) confirm funding/format deposit count; 3) have required NSK/county copies dispatched promptly, operational target within 7 days of printing and never beyond the statutory 30 days; 4) retain receipts; do not wait for retail launch",Production manager,B1-PROOF,2027-05-31,2027-06-18,36,38,2-4,P1,Deposit receipts and archival package,Trigger-based hard deadline overrides the provisional scheduling window: required copies delivered within applicable 30-day period after actual printing; verify current digital/public-funding rules,Actual printing triggers deposit; independent of launch date,NOT STARTED - proposed plan,S26,https://nsk.hr/nakladnici/obvezni-primjerak/
B1-PRINT,07.1 Book 1 production,Manufacturing,B1,Release a funded print order and inspect delivered stock,"1) Choose print quantity using contribution, cash and real demand; 2) check committed capacity/lead time; 3) approve order after proof; 4) inspect cartons and damage; 5) reserve deposit/review copies",Production manager,B1-PROOF;B1-PREORDER;B1-Q,2027-05-31,2027-06-11,36,37,6-10,P0,"Accepted stock, inventory and landed-cost record",Available cash covers production and liabilities with an owner-approved buffer; target date moves if printer lead time requires,G-B1 Cash and stock,NOT STARTED - proposed plan,,
B1-LAUNCH,07.1 Book 1 production,Release,B1,Launch the trade edition with essential companions,"1) Confirm saleable stock and tested fulfilment; 2) release approved adult-facing pages; 3) activate reviewed extras; 4) monitor questions, returns and safety reports",Series producer,B1-PRINT;B1-WEB;B1-META;WEB-06,2027-06-14,2027-06-15,38,38,10-16,P0,Trade book release and launch checklist,"Book, parent guide, worksheets, printable cards and passport coherent; no premature educational-edition claim",G-B1 Trade release,NOT STARTED - proposed plan,,
B1-POST,07.1 Book 1 production,Review gate,B1,"Review real sales, returns, usage and defects before expansion",1) Compare paid sales and channel margin with model; 2) record returns/complaints and support costs; 3) examine companion use without child profiling; 4) decide revise/reprint/expand/pause,Series producer,B1-LAUNCH;B1-DEPOSIT,2027-07-12,2027-08-06,42,45,8-14,P0,Post-launch decision and corrected backlog,No reprint or next-book commitment justified solely by gross revenue; critical corrections handled immediately,G-B1 Expansion decision,NOT STARTED - proposed plan,,
GROW-01,09 Extensions,Physical cards,B1 initially,Test paid demand before manufacturing the card deck,1) Review printable use and adult demand; 2) quote stock/box/MOQ/shipping; 3) compare margins and workload; 4) manufacture only after funded threshold chosen by owner,Commercial lead,B1-POST;B1-CARD,2027-08-09,2027-08-27,46,48,8-12,P2,Physical-deck go/no-go and quote,No inventory order based merely on the existence of 72 printable cards,,NOT STARTED - proposed plan,,
GROW-02,09 Extensions,Workshops,Series,Define a compliant facilitated workshop offer,"1) Choose low-risk formats and qualified facilitators; 2) clear permissions, insurance and school conflict rules; 3) create trainer manual; 4) pilot only authorised activities",Workshop lead,B1-POST;LEG-04;LEG-06,2027-08-09,2027-09-10,46,50,16-26,P2,Trainer manual and workshop route,No first-aid/mechanic certification claims; no unsafe props or informal school inducements,,NOT STARTED - proposed plan,S16;S27;S28,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/ | https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551
GROW-03,09 Extensions,Audio / accessibility,B1 then other books,Pilot accessible audio and alternative-format production,1) Select six stable chapters; 2) quote human-reviewed narration/captions/large-print sample; 3) test with intended users; 4) scale only useful formats,Accessibility lead,B1-POST;B1-FREEZE,2027-08-09,2027-09-17,46,51,16-28,P2,Accessible-format sample and demand evidence,Safety words spoken; full transcript; rights cleared; no untested dyslexia-friendly claim,,NOT STARTED - proposed plan,S23,https://mzom.gov.hr/print.aspx?id=7324&url=print
OPS-04,10 Operations,Business review,Series,"Review cash, inventory and support burden quarterly","1) Reconcile paid receipts and liabilities; 2) inspect channel contribution, returns and stock; 3) compare companion costs with use; 4) choose next investment or pause",Series producer,B1-POST,2027-08-09,2029-06-29,46,144,3-5 per quarter,P1,Quarterly operating decision,No expansion simply because a roadmap item exists; reprints and editions require evidence,,NOT STARTED - proposed plan,,
B2-D01,07.2 Book 2 production,Authoring,B2,Draft module 01: Upravljam svojim danom,"1) Draft B2-001, B2-002, B2-003, B2-004, B2-005, B2-006 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Tjedan koji mogu organizirati; Učim za razumijevanje, ne samo za test; Od velikog cilja do prvog koraka; Moje stvari i obveze pod kontrolom; Kad sve ne stane u isti dan; Kako donosim bolju odluku?",Book author,B1-POST;CUR-03;DSN-09,2027-08-16,2027-08-27,47,48,24-40,P1,Six topic manuscript packets for B2-M01,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-D02,07.2 Book 2 production,Authoring,B2,Draft module 02: Samostalnije kod kuće,"1) Draft B2-007, B2-008, B2-009, B2-010, B2-011, B2-012 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Perem i sušim odjeću; Prišijem gumb i produžim vijek stvari; Čistim sigurno: etiketa prije sredstva; Mali popravak ručnim alatom; Voda, struja i kvar: kada stati?; Dogovor o kućnim poslovima",Book author,B1-POST;CUR-03;DSN-09,2027-08-16,2027-08-27,47,48,24-40,P1,Six topic manuscript packets for B2-M02,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-FACT,07.2 Book 2 production,Evidence refresh,B2,"Refresh volatile legal, safety, financial and digital references",1) Assign each high-risk topic to its expert; 2) retrieve current exact operational sources; 3) label teaching prices and dates; 4) record revision triggers,Managing editor,B1-POST;CUR-01,2027-08-16,2027-09-03,47,49,12-20,P0,Dated topic claim and source ledger,"Curriculum references never substitute for clinical, automotive or legal validation",,NOT STARTED - proposed plan,S07;S27;S28;S29;S30,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/ | https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551 | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/ | https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
B2-Q,07.2 Book 2 production,Budget / procurement,B2,Refresh quotes and channel economics for this book,"1) Requote page count, binding and quantity scenarios; 2) update editing/art/review costs; 3) include deposit, damaged stock, returns and fulfilment; 4) approve a conservative funded print option",Commercial lead,B1-POST;DSN-06;STR-08,2027-08-16,2027-08-27,47,48,6-10,P0,Current landed-cost and cash model,"Base case does not count grants, future school adoption or unpaid orders; printer lead time may override target dates",,NOT STARTED - proposed plan,,
B2-SCOPE,07.2 Book 2 production,Commission,B2,"Confirm book-specific scope, capacity and cost ceiling",1) Confirm Mogu više! and the 60 topics; 2) commission roles under existing contracts; 3) verify 224-page budget; 4) stop if previous-book evidence or cash does not support expansion,Series producer,B1-POST;STR-09;LEG-03,2027-08-16,2027-08-20,47,47,4-6,P0,Book-specific commission note,Scope and maximum cash exposure approved; later-book schedule may be deferred,G-B2 Scope,NOT STARTED - proposed plan,,
B2-ART,07.2 Book 2 production,Illustration,B2,"Commission, draw and verify the book illustrations",1) Use approved shared style and six-topic module briefs; 2) deliver roughs before finals; 3) route every technical diagram to its specialist; 4) archive editable artwork and rights,Art director,B2-D01;B2-D02;DSN-07,2027-08-30,2027-11-19,49,60,90-160,P1,Complete illustration set and provenance ledger,Age-appropriate visual maturity; no unverified safety-critical images; all rights documented,,NOT STARTED - proposed plan,,
B2-D03,07.2 Book 2 production,Authoring,B2,Draft module 03: Mogu pripremiti obrok,"1) Draft B2-013, B2-014, B2-015, B2-016, B2-017, B2-018 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Nož, vrućina i sigurno radno mjesto; Pripremam jednostavan proteinski obrok; Tjestenina ili riža bez panike; Juha ili varivo od povrća; Recept za dvoje postaje recept za četvero; Etiketa, alergeni i sigurno čuvanje",Book author,B1-POST;CUR-03;DSN-09,2027-08-30,2027-09-10,49,50,24-40,P1,Six topic manuscript packets for B2-M03,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-D04,07.2 Book 2 production,Authoring,B2,Draft module 04: Upravljam džeparcem,"1) Draft B2-019, B2-020, B2-021, B2-022, B2-023, B2-024 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Plan za moj džeparac; Popust nije uvijek ušteda; Kartica nije neograničen novac; Pretplate, igrice i sitni troškovi; Kad novac ili podaci završe u krivim rukama; Mala ideja, stvarni troškovi",Book author,B1-POST;CUR-03;DSN-09,2027-08-30,2027-09-10,49,50,24-40,P1,Six topic manuscript packets for B2-M04,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-R01,07.2 Book 2 production,Editorial and specialist review,B2,Review module 01: Upravljam svojim danom,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-001, B2-002, B2-003, B2-004, B2-005, B2-006",Module editor and required specialists,B2-D01;STR-05,2027-08-30,2027-09-10,49,50,14-24,P0,Signed review sheets for B2-M01,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M01 Safe module,NOT STARTED - proposed plan,,
B2-R02,07.2 Book 2 production,Editorial and specialist review,B2,Review module 02: Samostalnije kod kuće,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-007, B2-008, B2-009, B2-010, B2-011, B2-012",Module editor and required specialists,B2-D02;STR-05,2027-08-30,2027-09-10,49,50,14-24,P0,Signed review sheets for B2-M02,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M02 Safe module,NOT STARTED - proposed plan,,
B2-D05,07.2 Book 2 production,Authoring,B2,Draft module 05: Zdravlje i odrastanje,"1) Draft B2-025, B2-026, B2-027, B2-028, B2-029, B2-030 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Tijelo se mijenja; San, stres i oporavak; Krećem se na svoj način; Hrana, tijelo i poruke s ekrana; Zdravstveni savjet: kome vjerovati?; Pritisak društva: kako reći ne?",Book author,B1-POST;CUR-03;DSN-09,2027-09-13,2027-09-24,51,52,24-40,P1,Six topic manuscript packets for B2-M05,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-D06,07.2 Book 2 production,Authoring,B2,Draft module 06: Odnosi i komunikacija,"1) Draft B2-031, B2-032, B2-033, B2-034, B2-035, B2-036 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Moje granice i tuđi pristanak; Ne slažemo se, ali možemo razgovarati; Pišem poruku i telefoniram pristojno; U timu: dogovor, povratna informacija, rok; Prijatelju je teško: kako pomoći?; Pripadanje bez isključivanja",Book author,B1-POST;CUR-03;DSN-09,2027-09-13,2027-09-24,51,52,24-40,P1,Six topic manuscript packets for B2-M06,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-R03,07.2 Book 2 production,Editorial and specialist review,B2,Review module 03: Mogu pripremiti obrok,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-013, B2-014, B2-015, B2-016, B2-017, B2-018",Module editor and required specialists,B2-D03;STR-05;B2-FACT,2027-09-13,2027-09-24,51,52,14-24,P0,Signed review sheets for B2-M03,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M03 Safe module,NOT STARTED - proposed plan,,
B2-R04,07.2 Book 2 production,Editorial and specialist review,B2,Review module 04: Upravljam džeparcem,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-019, B2-020, B2-021, B2-022, B2-023, B2-024",Module editor and required specialists,B2-D04;STR-05;B2-FACT,2027-09-13,2027-09-24,51,52,14-24,P0,Signed review sheets for B2-M04,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M04 Safe module,NOT STARTED - proposed plan,,
GROW-04,09 Extensions,Video,Series,"Produce a small demonstration pilot, not a full video library",1) Select high-value safe topics; 2) write reviewed scripts; 3) film consenting qualified adults; 4) add captions/transcripts and print alternatives; 5) review cost/use,Video producer,B1-POST;LEG-03;GROW-03,2027-09-20,2027-10-29,52,57,24-40,P2,Three to six reviewed demonstration videos if funded,No dangerous child demonstration or generic automotive/medical tutorial; exact procedure review,,NOT STARTED - proposed plan,S28;S29;S30,https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551 | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/ | https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
B2-D07,07.2 Book 2 production,Authoring,B2,Draft module 07: Sigurnost u stvarnom svijetu,"1) Draft B2-037, B2-038, B2-039, B2-040, B2-041, B2-042 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Hitno ili nije? Biram pravi poziv; Oživljavanje i AED: učim uz instruktora; Krvarenje, opeklina ili gušenje: tražim i pružam pomoć; Bicikl i romobil: pravila prije vožnje; Požar, plin i ugljikov monoksid; Voda i priroda: pomoć bez dodatne žrtve",Book author,B1-POST;CUR-03;DSN-09,2027-09-27,2027-10-08,53,54,24-40,P1,Six topic manuscript packets for B2-M07,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-D08,07.2 Book 2 production,Authoring,B2,Draft module 08: Digitalne odluke,"1) Draft B2-043, B2-044, B2-045, B2-046, B2-047, B2-048 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Lozinke, potvrda prijave i oporavak računa; Poruka izgleda stvarno. Je li?; Slika nije cijela priča; AI kao pomoćnik, ne kao dokaz; Zašto mi ekran baš to nudi?; Digitalni trag i neugodan kontakt",Book author,B1-POST;CUR-03;DSN-09,2027-09-27,2027-10-08,53,54,24-40,P1,Six topic manuscript packets for B2-M08,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-R05,07.2 Book 2 production,Editorial and specialist review,B2,Review module 05: Zdravlje i odrastanje,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-025, B2-026, B2-027, B2-028, B2-029, B2-030",Module editor and required specialists,B2-D05;STR-05;B2-FACT,2027-09-27,2027-10-08,53,54,14-24,P0,Signed review sheets for B2-M05,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M05 Safe module,NOT STARTED - proposed plan,,
B2-R06,07.2 Book 2 production,Editorial and specialist review,B2,Review module 06: Odnosi i komunikacija,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-031, B2-032, B2-033, B2-034, B2-035, B2-036",Module editor and required specialists,B2-D06;STR-05;B2-FACT,2027-09-27,2027-10-08,53,54,14-24,P0,Signed review sheets for B2-M06,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M06 Safe module,NOT STARTED - proposed plan,,
B2-D09,07.2 Book 2 production,Authoring,B2,Draft module 09: Kretanje i održivost,"1) Draft B2-049, B2-050, B2-051, B2-052, B2-053, B2-054 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Vozni red koji stvarno razumijem; Karta, orijentiri i plan bez signala; Pregled bicikla prije polaska; Izlet planiram prema vremenu i mogućnostima; Popravak, ponovna uporaba ili e-otpad?; Koliko trošimo vode i energije?",Book author,B1-POST;CUR-03;DSN-09,2027-10-11,2027-10-22,55,56,24-40,P1,Six topic manuscript packets for B2-M09,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-D10,07.2 Book 2 production,Authoring,B2,Draft module 10: Moj sljedeći korak,"1) Draft B2-055, B2-056, B2-057, B2-058, B2-059, B2-060 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Koji je moj sljedeći obrazovni korak?; Što ljudi zapravo rade na poslu?; Pravo, odgovornost i javna usluga; Raspravljam koristeći dokaze; Projekt za našu zajednicu; Moj samostalniji dan: sve povezujem",Book author,B1-POST;CUR-03;DSN-09,2027-10-11,2027-10-22,55,56,24-40,P1,Six topic manuscript packets for B2-M10,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
B2-R07,07.2 Book 2 production,Editorial and specialist review,B2,Review module 07: Sigurnost u stvarnom svijetu,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-037, B2-038, B2-039, B2-040, B2-041, B2-042",Module editor and required specialists,B2-D07;STR-05;B2-FACT,2027-10-11,2027-10-22,55,56,14-24,P0,Signed review sheets for B2-M07,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M07 Safe module,NOT STARTED - proposed plan,,
B2-R08,07.2 Book 2 production,Editorial and specialist review,B2,Review module 08: Digitalne odluke,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-043, B2-044, B2-045, B2-046, B2-047, B2-048",Module editor and required specialists,B2-D08;STR-05;B2-FACT,2027-10-11,2027-10-22,55,56,14-24,P0,Signed review sheets for B2-M08,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M08 Safe module,NOT STARTED - proposed plan,,
B2-MISSION,07.2 Book 2 production,Integrated activities,B2,Write ten four-page module missions,1) Use 11_module_missions as the blueprint; 2) create new transfer situations rather than copying chapter exercises; 3) include paper resources and support; 4) obtain specialist review for all practical variants,Lead educator,B2-D01;B2-D02;B2-D03;B2-D04;B2-D05;B2-D06;B2-D07;B2-D08;B2-D09;B2-D10,2027-10-25,2027-11-05,57,58,20-32,P1,Ten module missions and answer/support notes,Forty-page budget; each mission inherits the highest relevant safety tier and has observable evidence,,NOT STARTED - proposed plan,,
B2-R09,07.2 Book 2 production,Editorial and specialist review,B2,Review module 09: Kretanje i održivost,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-049, B2-050, B2-051, B2-052, B2-053, B2-054",Module editor and required specialists,B2-D09;STR-05;B2-FACT,2027-10-25,2027-11-05,57,58,14-24,P0,Signed review sheets for B2-M09,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M09 Safe module,NOT STARTED - proposed plan,,
B2-R10,07.2 Book 2 production,Editorial and specialist review,B2,Review module 10: Moj sljedeći korak,"1) Age-band teacher checks all six outcomes and activities; 2) named topic specialists verify exact facts and diagrams; 3) author closes corrections; 4) record any remaining noncritical issue for final copy edit. Topics: B2-055, B2-056, B2-057, B2-058, B2-059, B2-060",Module editor and required specialists,B2-D10;STR-05;B2-FACT,2027-10-25,2027-11-05,57,58,14-24,P0,Signed review sheets for B2-M10,"Zero unresolved critical safety, privacy or factual defects; each procedural source dated",G-B2-M10 Safe module,NOT STARTED - proposed plan,,
B2-COPY,07.2 Book 2 production,Editing,B2,Complete developmental and Croatian language editing,"1) Harmonise terms, reading load and cross-references; 2) verify every worked example; 3) check all 60 topic IDs; 4) send changed technical text back to reviewer",Croatian editor,B2-R01;B2-R02;B2-R03;B2-R04;B2-R05;B2-R06;B2-R07;B2-R08;B2-R09;B2-R10;B2-MISSION,2027-11-08,2027-11-19,59,60,28-44,P1,Copyedited complete manuscript,"Consistent standard Croatian, diacritics, units, money and page allocation; no unresolved comments in final text",,NOT STARTED - proposed plan,,
B2-RETEST,07.2 Book 2 production,Reader validation,B2,Retest the complete content with the target band,1) Sample new and revised chapters across all modules; 2) use paper and adult-approved practical variants only; 3) include supported readers; 4) collect anonymous comprehension and usability observations,Pilot educator,B2-R01;B2-R02;B2-R03;B2-R04;B2-R05;B2-R06;B2-R07;B2-R08;B2-R09;B2-R10;B2-MISSION;LEG-06;LEG-04,2027-11-08,2027-11-19,59,60,16-26,P1,Book-specific usability retest,"Zero safety events or unresolved confusion about stop conditions; summer sessions are voluntary family/community sessions, not assumed school access",,NOT STARTED - proposed plan,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B2-FREEZE,07.2 Book 2 production,Content gate,B2,Freeze the reviewed manuscript and all safety wording,1) Integrate retest changes; 2) close editorial and illustration defects; 3) obtain final specialist sign-offs; 4) lock a versioned manuscript and claim ledger,Managing editor,B2-COPY;B2-RETEST;B2-ART;B2-FACT,2027-11-22,2027-11-26,61,61,8-14,P0,Signed content freeze,All critical risks closed; any future substantive change reopens the affected review,G-B2 Content freeze,NOT STARTED - proposed plan,,
B2-CARD,07.2 Book 2 production,Cards and passport,B2,Produce printable 72-card deck and skills passport,"1) Make 60 skill, 10 mission and 2 instruction cards; 2) put answers/support on reverse; 3) retain safety tiers; 4) add private progress passport; 5) defer physical inventory",Companion designer,B2-FREEZE;DSN-05,2027-11-29,2028-01-07,62,67,20-32,P1,Printable deck and 12-page passport,Exactly 72 cards; no hazardous challenge or public ranking; every ID resolves,,NOT STARTED - proposed plan,,
B2-LAYOUT,07.2 Book 2 production,Typesetting,B2,Typeset the complete book and check the set,1) Flow final text and art into shared templates; 2) inspect every spread and cross-reference; 3) compare cover/spine with other age bands; 4) resolve page overflow without shrinking safety text,Book designer,B2-FREEZE,2027-11-29,2027-12-17,62,64,36-56,P1,Complete laid-out book PDF and editable sources,Exactly 224 planned pages or a formally approved revised signature; accessible reading sizes retained,,NOT STARTED - proposed plan,,
B2-META,07.2 Book 2 production,Sales preparation,B2,"Prepare accurate listings, samples and channel offers",1) Write parent-facing description and age/safety scope; 2) prepare metadata and sample spreads; 3) negotiate direct/bookstore/library terms; 4) remove unsupported claims,Commercial editor,B2-FREEZE;LEG-09;B2-Q,2027-11-29,2028-01-07,62,67,10-16,P1,"Approved metadata, sales page and channel term sheet","No ministry endorsement, guaranteed outcomes or inflated school-use claims",,NOT STARTED - proposed plan,,
B2-PG,07.2 Book 2 production,Parent guide,B2,Produce the parent/caregiver guide,1) Group prompts for all 60 topics into a 24-page guide; 2) explain support and stopping rules; 3) add low-cost/adapted options; 4) check all links and IDs,Family-guide editor,B2-FREEZE;DSN-05,2027-11-29,2028-01-07,62,67,12-20,P1,Accessible parent guide draft and reviewed final,Coverage index reaches every topic; no assumption about family structure or finances,,NOT STARTED - proposed plan,,
B2-TG-DRAFT,07.2 Book 2 production,Teacher guide,B2,Draft the teacher-guide content without approval claims,"1) Create 60 brief lesson plans; 2) add 12-lesson and 35-session proposed paths; 3) map exact grades and candidate codes; 4) include preparation, evidence, differentiation and stop rules",Teacher-guide editor,B2-FREEZE;CUR-10;CUR-08,2027-11-29,2028-01-21,62,69,30-48,P1,Approx. 96-page teacher-guide draft,Clearly marked candidate/evaluation version; formal classroom distribution waits for applicable legal route,,NOT STARTED - proposed plan,S01;S02;S03;S04;S05;S06;S07;S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B2-WS,07.2 Book 2 production,Worksheets,B2,Produce 60 low-ink worksheets and separate answer notes,1) Reuse approved topic activity; 2) supply worked/support examples and fictional data; 3) test printing and oral alternatives; 4) attach copying-licence wording,Worksheet editor,B2-FREEZE;DSN-05,2027-11-29,2028-01-07,62,67,22-36,P1,60 worksheets and answer/support pack,All essential activities available without child phone or purchases; rights and school-use conditions clear,,NOT STARTED - proposed plan,S12;S16,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html
B2-PREPRESS,07.2 Book 2 production,Prepress,B2,Proofread final layout and run production checks,"1) Read every page at actual size; 2) check numbers, safety diagrams, QR codes and IDs; 3) inspect bleed/gutter/colour; 4) verify permissions and imprint requirements",Independent proofreader and production manager,B2-LAYOUT,2028-01-03,2028-01-07,67,67,16-26,P0,Prepress defect log with closures,"No missing glyphs, clipping, broken QR paths or incorrect safety labels",,NOT STARTED - proposed plan,,
B2-ID,07.2 Book 2 production,Publishing administration,B2,"Finalise edition identifiers, CIP and imprint",1) Confirm separate format/edition ISBNs; 2) apply for eligible book CIP after final correction; 3) insert current NSK-prescribed number/access wording; 4) confirm exclusions for worksheets/cards,Production manager,B2-PREPRESS;LEG-07,2028-01-10,2028-01-14,68,68,3-6,P1,Identifier register and final imprint,Do not paste an obsolete full CIP record; no unnecessary CIP claim for excluded material,,NOT STARTED - proposed plan,S24;S25,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/ | https://nsk.hr/nakladnici/cip/
B2-PREORDER,07.2 Book 2 production,Demand validation,B2,Validate paid demand only through a compliant transparent offer,1) Set quoted price and realistic delivery range; 2) show genuine samples and terms; 3) collect adult preorders only if refund capacity exists; 4) compare net committed orders with print exposure,Commercial lead,B2-META;WEB-04;WEB-03,2028-01-10,2028-01-21,68,69,6-12,P1,Dated preorder/demand and refund-liability report,"No invented scarcity or promised school subsidy; order volume is evidence, not proof of future sales",,NOT STARTED - proposed plan,,
